Run,RELEASE_ALT,RELEASE_MASS,RunName,Fatalities,MASS_MEAN_DIAMETER,WIND_DIRECTION,Day
3610,0,1200,Run_3610,15,6.00E-05,300,1
3615,0,1400,Run_3615,16,4.00E-05,300,1
3618,0,1400,Run_3618,17,1.00E-04,300,1
3619,0,1600,Run_3619,16,1.00E-05,300,1
3620,0,1600,Run_3620,17,2.00E-05,300,1
3624,0,1600,Run_3624,18,1.00E-04,300,1
3628,0,1800,Run_3628,19,6.00E-05,300,1
3639,20,1000,Run_3639,17,4.00E-05,300,1
3641,20,1000,Run_3641,17,8.00E-05,300,1
3656,20,1600,Run_3656,22,2.00E-05,300,1
3657,20,1600,Run_3657,22,4.00E-05,300,1
3663,20,1800,Run_3663,25,4.00E-05,300,1
3665,20,1800,Run_3665,25,8.00E-05,300,1
3688,40,1400,Run_3688,30,6.00E-05,300,1
3689,40,1400,Run_3689,28,8.00E-05,300,1
3715,80,1200,Run_3715,30,1.00E-05,300,1
3745,100,1000,Run_3745,24,1.00E-05,300,1
3748,100,1000,Run_3748,22,6.00E-05,300,1
3749,100,1000,Run_3749,20,8.00E-05,300,1
3753,100,1200,Run_3753,36,4.00E-05,300,1
3756,100,1200,Run_3756,27,1.00E-04,300,1
3768,100,1600,Run_3768,52,1.00E-04,300,1
3791,120,1200,Run_3791,38,8.00E-05,300,1
3809,120,1800,Run_3809,84,8.00E-05,300,1
3824,140,1200,Run_3824,40,2.00E-05,300,1
3835,140,1600,Run_3835,82,1.00E-05,300,1
3893,180,1000,Run_3893,14,8.00E-05,300,1
3926,200,1000,Run_3926,8,2.00E-05,300,1
3928,200,1000,Run_3928,9,6.00E-05,300,1
3929,200,1000,Run_3929,8,8.00E-05,300,1
49,20,1400,Run_49,31,1.00E-05,100,2
68,20,2000,Run_68,44,2.00E-05,100,2
72,20,2000,Run_72,42,1.00E-04,100,2
79,40,1200,Run_79,37,1.00E-05,100,2
